gid,crop_id
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
650,0
651,0
652,0
702,45
809,3
779,41
817,41
690,33
691,45
846,17
810,19
683,3
685,3
770,47
704,26
834,41
884,39
771,12
833,41
815,41
805,6
709,45
837,47
805,41
755,26
689,32
862,48
757,39
773,39
905,38
775,26
784,11
820,26
685,4
823,29
866,44
814,19
808,11
741,47
777,41
693,45
865,33
712,32
769,50
772,39
811,3
784,12
706,35
672,29
780,19
686,29
658,48
756,53
700,44
846,26
868,47
707,45
785,35
684,41
808,12
813,33
862,49
839,35
806,10
819,33
770,26
836,41
689,33
807,41
888,11
686,53
755,47
715,4
837,26
700,41
684,44
826,3
787,19
683,42
808,5
769,4
713,4
691,48
884,19
824,19
866,41
806,33
776,19
655,35
780,34
838,41
811,42
706,29
672,35
831,42
814,39
825,41
692,52
846,47
757,19
773,19
679,47
823,35
775,47
835,45
841,26
824,40
835,49
811,51
830,3
772,19
695,33
769,3
819,35
658,12
777,26
689,35
813,35
812,10
839,33
884,42
809,19
820,41
679,41
705,35
813,43
818,41
712,53
774,33
819,43
775,41
810,3
833,17
683,19
846,41
690,29
826,39
661,41
806,35
822,29
835,12
709,5
780,4
845,39
812,33
814,3
715,39
866,47
689,23
655,33
880,43
864,48
691,38
862,12
880,35
779,26
712,35
755,41
888,45
885,36
757,42
780,3
833,26
692,29
815,26
885,53
683,13
778,12
805,26
840,39
811,19
830,39
701,29
903,5
704,41
834,26
690,35
885,29
707,11
868,41
692,53
694,35
693,31
707,31
701,53
822,35
772,16
884,3
776,3
903,12
713,40
741,41
715,13
840,40
707,12
844,38
705,29
826,19
787,3
693,12
810,42
841,41
756,33
696,41
784,45
837,41
846,44
690,53
807,26
780,42
757,3
692,35
773,3
770,41
709,31
668,42
822,53
691,12
708,11
701,35
885,28
771,49
844,5
706,33
709,12
831,39
830,19
866,26
811,39
864,45
769,19
840,19
772,3
787,4
814,42
785,33
712,29
824,4
775,44
837,5
689,19
825,45
754,47
685,35
683,43
708,44
819,19
818,12
820,12
813,19
694,39
712,40
683,35
658,41
709,44
846,11
690,2
756,3
706,4
844,41
835,41
784,26
774,42
679,11
661,12
679,31
811,53
808,26
846,12
884,33
775,31
839,42
806,19
888,15
772,10
713,29
840,29
769,29
693,44
862,41
707,44
692,39
700,45
683,53
885,46
757,10
756,16
741,5
785,3
686,42
771,26
865,39
811,35
695,19
831,35
778,41
778,6
655,42
866,45
864,26
672,4
774,3
690,19
784,47
686,16
692,40
694,19
705,39
813,39
839,3
821,41
808,47
822,19
686,4
784,15
823,4
812,3
806,39
838,48
808,21
841,12
693,41
840,53
707,41
684,45
868,11
885,39
884,52
826,35
903,41
771,47
691,41
686,3
690,40
692,19
880,39
770,12
702,41
864,47
822,46
683,28
701,19
822,40
837,12
814,33
715,35
708,41
846,5
814,10
840,35
830,35
695,39
713,35
709,41
815,45
823,3
787,29
705,3
826,10
833,11
862,26
837,45
689,3
704,48
824,29
814,53
700,38
712,4
805,31
817,12
845,10
813,3
839,39
885,14
864,41
805,12
778,26
815,12
845,33
833,12
817,11
691,47
771,41
756,19
885,3
834,12
690,42
777,12
880,3
658,26
684,11
712,3
715,33
832,41
868,49
695,3
808,41
840,33
668,35
769,33
885,4
830,33
784,41
692,42
741,49
668,43
844,26
835,26
839,19
778,47
700,12
692,4
822,3
689,50
807,12
690,14
866,31
774,19
690,3
701,4
757,53
686,13
709,26
885,50
787,35
683,10
756,39
809,10
866,12
755,45
888,41
776,43
813,42
812,19
755,49
776,35
884,35
819,42
787,43
694,4
679,49
821,26
672,19
905,41
835,47
825,12
775,45
780,29
696,48
686,19
822,4
838,12
692,3
679,45
820,45
785,39
868,48
846,45
658,47
754,41
846,49
706,39
811,33
772,35
865,3
661,45
835,51
811,49
771,39
884,12
888,19
835,50
708,4
776,12
903,3
846,33
865,26
812,41
787,12
693,3
864,39
839,41
754,13
769,48
702,4
825,53
836,35
706,44
805,29
774,41
807,35
814,5
775,33
700,35
818,33
787,11
820,33
772,12
693,4
823,41
784,39
755,33
689,47
754,19
708,3
866,53
704,33
808,39
772,11
655,41
757,12
773,12
822,26
838,35
685,45
691,14
672,41
778,42
825,35
686,41
691,3
683,45
702,3
755,10
864,19
655,44
713,45
834,35
769,45
701,47
672,44
775,24
844,3
833,35
815,35
756,41
696,33
771,19
784,40
888,39
769,49
700,29
825,28
903,42
825,30
817,35
658,3
880,26
715,45
741,10
866,29
810,12
862,4
806,26
778,3
787,5
808,19
825,29
822,47
780,12
706,41
835,4
776,5
784,19
690,47
786,41
785,41
684,35
862,3
814,12
813,26
832,19
905,39
770,33
819,26
777,35
780,49
826,12
780,1
668,45
823,26
679,29
811,5
668,49
845,12
780,45
888,3
775,29
835,39
779,10
844,39
805,33
709,40
712,44
755,8
846,29
690,41
817,33
706,15
694,41
709,13
771,42
672,26
821,19
661,29
770,53
822,6
845,11
822,41
754,3
741,36
780,9
778,39
865,41
832,42
741,53
841,53
830,12
769,12
840,12
707,40
846,8
903,40
709,19
715,12
837,35
691,19
756,47
755,29
838,52
862,39
787,48
692,41
830,11
777,33
905,3
839,26
693,13
701,41
835,19
903,39
846,35
771,3
755,53
686,47
785,26
707,39
809,11
807,10
