gid,monitoring_started,monitoring_ended,longitude,latitude,district,name,ms_id,svp (manual),svp (auto),validity,area
321,2021-02-22,2021-10-25,11.7898472,44.8232467,FE,FE24,9.0,12.0,4.76009139375476,valid,BO-FE
450,2021-02-22,2021-10-25,11.9479935846593,44.4817716112393,RA,RA03,9.0,6.0,3.26224930185326,valid,FC-RA-RN
324,2021-02-22,2021-10-25,11.764934,44.7496433,FE,FE27,9.0,4.0,1.33282559025133,valid,BO-FE
481,2021-02-22,2021-10-25,11.997529,44.405385,RA,RA34,9.0,15.0,1.32013201320132,valid,FC-RA-RN
90,2020-04-19,2020-10-19,11.764934,44.7496433,FE,FE27,6.0,4.0,2.07267979545207,valid,BO-FE
146,2020-04-19,2020-10-19,11.1150806,44.7554526,MO,MO03,6.0,5.0,6.58252638450658,valid,MO-RE
192,2020-04-19,2020-10-19,11.8809145,44.4250424,RA,RA09,6.0,,1.03905994995104,valid,FC-RA-RN
424,2021-02-22,2021-10-25,10.7898488544837,44.7790413804669,RE,MO27,9.0,2.0,4.26504188880426,valid,MO-RE
193,2020-04-19,2020-10-19,11.876786,44.441738,RA,RA10,6.0,,0.380807311500381,valid,FC-RA-RN
408,2021-02-22,2021-10-25,10.9973832,44.8694494,MO,MO11,9.0,15.0,3.90962173140391,valid,MO-RE
466,2021-02-22,2021-10-25,12.0312014,44.4432292,RA,RA19,9.0,6.0,5.25514089870526,valid,FC-RA-RN
250,2021-02-22,2021-10-25,11.4220107,44.7258452,BO,BO03,9.0,9.0,1.3962934755014,valid,BO-FE
350,2021-02-22,2021-10-25,12.0060471986718,44.2470517591205,FC,FC03,9.0,13.0,7.55267834475755,valid,FC-RA-RN
116,2020-04-19,2020-10-19,11.9973704,44.4746537,RA,FC13,6.0,,0.0816015667500816,valid,FC-RA-RN
64,2020-04-19,2020-10-19,11.7591248,44.8808093,FE,FE01,6.0,2.0,1.11522141225112,valid,BO-FE
478,2021-02-22,2021-10-25,11.863125,44.320506,RA,RA31,9.0,2.0,1.52322924600152,valid,FC-RA-RN
248,2021-02-22,2021-10-25,11.5427417,44.6508673,BO,BO01,9.0,8.0,10.2817974105103,valid,BO-FE
84,2020-04-19,2020-10-19,11.5412124,44.8539655,FE,FE21,6.0,2.0,3.00837776085301,valid,BO-FE
145,2020-04-19,2020-10-19,10.8743731,44.7297694,MO,MO02,6.0,20.0,1.27298444130127,valid,MO-RE
207,2020-04-19,2020-10-19,11.8383403,44.2971872,RA,RA24,6.0,20.0,3.85703405505386,valid,FC-RA-RN
458,2021-02-22,2021-10-25,11.9287017,44.3995025,RA,RA11,9.0,12.0,2.3990860624524,valid,FC-RA-RN
198,2020-04-19,2020-10-19,11.9368376,44.2760464,RA,RA15,6.0,0.0,0.0,valid,FC-RA-RN
