answer_id,togo_id,text
BMSB.INST.Q13.A1,124,
BMSB.INST.Q14.A2,124,
BMSB.INST.Q14.A3,124,
BMSB.INST.Q1.A1,126,
BMSB.INST.Q2.A9,126,
BMSB.INST.Q3.A1,126,
BMSB.INST.Q4.A3,126,
BMSB.INST.Q4.A4,126,
BMSB.INST.Q5.A1,126,
BMSB.INST.Q6.A1,126,
BMSB.INST.Q7.A1,126,
BMSB.INST.Q8.A1,126,
BMSB.INST.Q9.A1,126,
BMSB.INST.Q10.A8,126,
BMSB.INST.Q11.A1,126,
BMSB.INST.Q12.A1,126,
BMSB.INST.Q12.A2,126,
BMSB.INST.Q13.A1,126,
BMSB.INST.Q14.A2,126,
BMSB.INST.Q14.A3,126,
BMSB.INST.Q1.A2,127,
BMSB.INST.Q3.A1,127,
BMSB.INST.Q4.A3,127,
BMSB.INST.Q4.A2,127,
BMSB.INST.Q4.A6,127,
BMSB.INST.Q5.A1,127,
BMSB.INST.Q6.A1,127,
BMSB.INST.Q7.A1,127,
BMSB.INST.Q8.A1,127,
BMSB.INST.Q9.A1,127,
BMSB.INST.Q10.A4,127,
BMSB.INST.Q10.A3,127,
BMSB.INST.Q11.A1,127,
BMSB.INST.Q12.A2,127,
BMSB.INST.Q12.A3,127,
BMSB.INST.Q13.A1,127,
BMSB.INST.Q14.A3,127,
BMSB.INST.Q14.A2,127,
BMSB.INST.Q1.A1,132,
BMSB.INST.Q2.A9,132,
BMSB.INST.Q3.A1,132,
BMSB.INST.Q4.A6,132,
BMSB.INST.Q5.A2,132,
BMSB.INST.Q7.A2,132,
BMSB.INST.Q9.A1,132,
BMSB.INST.Q10.A3,132,
BMSB.INST.Q10.A8,132,
BMSB.INST.Q11.A1,132,
BMSB.INST.Q12.A2,132,
BMSB.INST.Q13.A1,132,
BMSB.INST.Q14.A2,132,
BMSB.INST.Q14.A3,132,
BMSB.INST.Q1.A1,243,
BMSB.INST.Q2.A1,243,
BMSB.INST.Q2.A2,243,
BMSB.INST.Q2.A3,243,
BMSB.INST.Q2.A4,243,
BMSB.INST.Q2.A5,243,
BMSB.INST.Q2.A7,243,
BMSB.INST.Q2.A8,243,
BMSB.INST.Q3.A1,243,
BMSB.INST.Q4.A2,243,
BMSB.INST.Q4.A3,243,
BMSB.INST.Q4.A4,243,
BMSB.INST.Q5.A1,243,
BMSB.INST.Q6.A3,243,
BMSB.INST.Q7.A1,243,
BMSB.INST.Q8.A2,243,
BMSB.INST.Q9.A1,243,
BMSB.INST.Q10.A8,243,
BMSB.INST.Q11.A1,243,
BMSB.INST.Q12.A2,243,
BMSB.INST.Q12.A7,243,
BMSB.INST.Q13.A2,243,
BMSB.INST.Q1.A1,244,
BMSB.INST.Q2.A1,244,
BMSB.INST.Q2.A2,244,
BMSB.INST.Q2.A3,244,
BMSB.INST.Q2.A4,244,
BMSB.INST.Q2.A5,244,
BMSB.INST.Q3.A1,244,
BMSB.INST.Q4.A1,244,
BMSB.INST.Q4.A2,244,
BMSB.INST.Q4.A3,244,
BMSB.INST.Q4.A4,244,
BMSB.INST.Q5.A1,244,
BMSB.INST.Q6.A1,244,
BMSB.INST.Q7.A1,244,
BMSB.INST.Q8.A5,244,
BMSB.INST.Q9.A1,244,
BMSB.INST.Q10.A4,244,
BMSB.INST.Q11.A1,244,
BMSB.INST.Q12.A1,244,
BMSB.INST.Q12.A2,244,
BMSB.INST.Q13.A1,244,
BMSB.INST.Q14.A3,244,
BMSB.INST.Q1.A1,245,
BMSB.INST.Q2.A1,245,
BMSB.INST.Q2.A3,245,
BMSB.INST.Q2.A4,245,
BMSB.INST.Q2.A5,245,
BMSB.INST.Q2.A8,245,
BMSB.INST.Q3.A1,245,
BMSB.INST.Q4.A2,245,
BMSB.INST.Q4.A3,245,
BMSB.INST.Q5.A1,245,
BMSB.INST.Q6.A3,245,
BMSB.INST.Q7.A1,245,
BMSB.INST.Q8.A3,245,
BMSB.INST.Q9.A1,245,
BMSB.INST.Q10.A4,245,
BMSB.INST.Q10.A7,245,
BMSB.INST.Q10.A8,245,
BMSB.INST.Q11.A1,245,
BMSB.INST.Q12.A1,245,
BMSB.INST.Q12.A2,245,
BMSB.INST.Q12.A3,245,
BMSB.INST.Q12.A5,245,
BMSB.INST.Q12.A6,245,
BMSB.INST.Q12.A7,245,
BMSB.INST.Q13.A1,245,
BMSB.INST.Q14.A3,245,
BMSB.INST.Q1.A1,210,
BMSB.INST.Q2.A4,210,
BMSB.INST.Q2.A7,210,
BMSB.INST.Q3.A1,210,
BMSB.INST.Q4.A2,210,
BMSB.INST.Q4.A3,210,
BMSB.INST.Q5.A1,210,
BMSB.INST.Q6.A1,210,
BMSB.INST.Q7.A1,210,
BMSB.INST.Q8.A1,210,
BMSB.INST.Q9.A1,210,
BMSB.INST.Q10.A8,210,
BMSB.INST.Q11.A1,210,
BMSB.INST.Q12.A5,210,
BMSB.INST.Q12.A3,210,
BMSB.INST.Q12.A7,210,
BMSB.INST.Q13.A2,210,
BMSB.INST.Q1.A2,209,
BMSB.INST.Q3.A1,209,
BMSB.INST.Q4.A1,209,
BMSB.INST.Q4.A3,209,
BMSB.INST.Q5.A1,209,
BMSB.INST.Q6.A1,209,
BMSB.INST.Q7.A1,209,
BMSB.INST.Q8.A1,209,
BMSB.INST.Q9.A1,209,
BMSB.INST.Q10.A4,209,
BMSB.INST.Q11.A1,209,
BMSB.INST.Q12.A3,209,
BMSB.INST.Q13.A2,209,
BMSB.INST.Q1.A2,211,
BMSB.INST.Q3.A1,211,
BMSB.INST.Q4.A2,211,
BMSB.INST.Q4.A3,211,
BMSB.INST.Q4.A4,211,
BMSB.INST.Q5.A1,211,
BMSB.INST.Q6.A1,211,
BMSB.INST.Q7.A1,211,
BMSB.INST.Q8.A1,211,
BMSB.INST.Q9.A2,211,
BMSB.INST.Q11.A1,211,
BMSB.INST.Q12.A3,211,
BMSB.INST.Q12.A7,211,
BMSB.INST.Q13.A1,211,
BMSB.INST.Q14.A1,211,
BMSB.INST.Q1.A2,212,
BMSB.INST.Q3.A1,212,
BMSB.INST.Q4.A2,212,
BMSB.INST.Q4.A3,212,
BMSB.INST.Q5.A1,212,
BMSB.INST.Q6.A2,212,
BMSB.INST.Q7.A2,212,
BMSB.INST.Q9.A1,212,
BMSB.INST.Q10.A7,212,
BMSB.INST.Q10.A3,212,
BMSB.INST.Q11.A1,212,
BMSB.INST.Q12.A2,212,
BMSB.INST.Q12.A7,212,
BMSB.INST.Q13.A1,212,
BMSB.INST.Q14.A3,212,
BMSB.INST.Q1.A1,213,
BMSB.INST.Q2.A7,213,
BMSB.INST.Q2.A3,213,
BMSB.INST.Q3.A1,213,
BMSB.INST.Q4.A1,213,
BMSB.INST.Q4.A3,213,
BMSB.INST.Q5.A1,213,
BMSB.INST.Q6.A1,213,
BMSB.INST.Q7.A1,213,
BMSB.INST.Q8.A1,213,
BMSB.INST.Q9.A1,213,
BMSB.INST.Q10.A3,213,
BMSB.INST.Q11.A1,213,
BMSB.INST.Q12.A5,213,
BMSB.INST.Q12.A7,213,
BMSB.INST.Q13.A2,213,
BMSB.INST.Q1.A1,215,
BMSB.INST.Q2.A3,215,
BMSB.INST.Q2.A5,215,
BMSB.INST.Q3.A1,215,
BMSB.INST.Q4.A3,215,
BMSB.INST.Q4.A4,215,
BMSB.INST.Q5.A1,215,
BMSB.INST.Q6.A1,215,
BMSB.INST.Q7.A1,215,
BMSB.INST.Q8.A3,215,
BMSB.INST.Q9.A1,215,
BMSB.INST.Q10.A4,215,
BMSB.INST.Q11.A1,215,
BMSB.INST.Q12.A7,215,
