togo_id,timestamp_assignment,timestamp_end,timestamp_completed,task_id,gid
9642,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,477
9654,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,478
9632,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,479
9633,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,482
9636,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,483
9656,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,484
9661,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,485
9657,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,491
9638,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,476
9655,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,463
9640,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,475
9598,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,357
9596,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,359
9595,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,361
9601,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,452
9603,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,453
9613,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,413
9644,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,464
9645,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,465
9651,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,458
9649,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,473
9648,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,459
9659,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,492
9611,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,411
9614,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,414
9619,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-16 00:00:00.000,6,410
9571,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-17 00:00:00.000,6,310
