water_course_id,praenomen,usage,culverted
189,DUGALE,Mixed (mainly draining),Uncovered
190,RIO,Mixed (mainly irrigation),Uncovered
191,FOSSATONE,Draining,Uncovered
192,SCOLO,Irrigation,Uncovered
193,AFFLUENTE,Mixed (mainly draining),Covered
194,CANALINO,Draining,Uncovered
195,,Irrigation,Uncovered
196,FOSSO,Irrigation,Covered
197,CONDOTTA DI PRESA,Irrigation,Covered
198,FOSSACCIA,Mixed (mainly draining),Uncovered
199,ARIANA,Mixed (mainly irrigation),Covered
200,CANALE,Mixed (mainly draining),Uncovered
201,SCOLI,Draining,Uncovered
202,CAVO,Irrigation,Uncovered
203,CANALETTA,Mixed (mainly irrigation),Uncovered
204,FIUME,Mixed (mainly draining),Uncovered
205,RIO,Mixed (mainly draining),Covered
206,DISTRIBUTORE,Irrigation,Uncovered
207,DIVERSIVO,Irrigation,Covered
208,IRRIGATORE,Mixed (mainly draining),Uncovered
209,CAVO,Draining,Covered
210,CANALINA,Draining,Uncovered
211,DIVERSIVO,Draining,Uncovered
212,ARIANA,Mixed (mainly draining),Uncovered
213,CANALE,Mixed (mainly irrigation),Covered
214,TUBAZIONE,Mixed (mainly irrigation),Covered
215,IRRIGATORE,Mixed (mainly draining),Covered
216,SCALOPPIA,Mixed (mainly draining),Uncovered
217,DUGALE,Mixed (mainly irrigation),Uncovered
218,RIO,Mixed (mainly draining),Uncovered
219,DIVERSIVO,Irrigation,Uncovered
220,INCILE CANALE,Mixed (mainly irrigation),Uncovered
221,CANALETTA,Mixed (mainly irrigation),Covered
222,DERIVATORE,Mixed (mainly draining),Uncovered
223,CANALINA,Irrigation,Uncovered
224,ARGINE,Draining,Uncovered
225,CAVO,Irrigation,Covered
226,SCOLARECCIO,Draining,Uncovered
227,DIVERSIVO,Draining,Covered
228,ARIANA,Mixed (mainly draining),Covered
229,CANALE,Mixed (mainly irrigation),Uncovered
230,CAVO,Draining,Uncovered
231,DUGALE,Mixed (mainly draining),Covered
232,RIO,Mixed (mainly irrigation),Covered
233,FOSSO,Draining,Covered
234,IRRIGATORE,Mixed (mainly irrigation),Uncovered
235,CANALINO,Irrigation,Uncovered
236,SCOLO,Draining,Uncovered
237,CANALETTA,Mixed (mainly draining),Uncovered
238,DUGARO,Draining,Uncovered
239,ARIANA,Mixed (mainly irrigation),Uncovered
240,CANALE,Mixed (mainly draining),Covered
241,AFFLUENTE,Mixed (mainly draining),Uncovered
242,TUBAZIONE,Mixed (mainly draining),Covered
243,FOSSO,Irrigation,Uncovered
244,COLATORE,Mixed (mainly draining),Uncovered
0,Nessuno,Nessuno,Nessuno
